Time,Input_I,LIF_V,Izh_V,LIF_Spike,Izh_Spike
63.0000,20.0000,-63.4160,-62.4135,0,0
63.1000,20.0000,-62.6477,-62.2710,0,0
63.2000,20.0000,-61.8947,-62.1254,0,0
63.3000,20.0000,-61.1568,-61.9765,0,0
63.4000,20.0000,-60.4337,-61.8241,0,0
63.5000,20.0000,-59.7250,-61.6681,0,0
63.6000,20.0000,-59.0305,-61.5082,0,0
63.7000,20.0000,-58.3499,-61.3443,0,0
63.8000,20.0000,-57.6829,-61.1760,0,0
63.9000,20.0000,-57.0292,-61.0032,0,0
64.0000,20.0000,-56.3887,-60.8256,0,0
64.1000,20.0000,-55.7609,-60.6429,0,0
64.2000,20.0000,-55.1457,-60.4547,0,0
64.3000,20.0000,-54.5428,-60.2608,0,0
64.4000,20.0000,-53.9519,-60.0608,0,0
64.5000,20.0000,-53.3729,-59.8542,0,0
64.6000,20.0000,-52.8054,-59.6406,0,0
64.7000,20.0000,-52.2493,-59.4195,0,0
64.8000,20.0000,-51.7043,-59.1905,0,0
64.9000,20.0000,-51.1702,-58.9528,0,0
65.0000,20.0000,-50.6468,-58.7059,0,0
65.1000,20.0000,-50.1339,-58.4490,0,0
65.2000,20.0000,30.0000,-58.1814,1,0
65.3000,20.0000,-64.2000,-57.9021,0,0
65.4000,20.0000,-63.4160,-57.6102,0,0
65.5000,20.0000,-62.6477,-57.3045,0,0
65.6000,20.0000,-61.8947,-56.9839,0,0
65.7000,20.0000,-61.1568,-56.6470,0,0
65.8000,20.0000,-60.4337,-56.2921,0,0
65.9000,20.0000,-59.7250,-55.9175,0,0
66.0000,20.0000,-59.0305,-55.5212,0,0
66.1000,20.0000,-58.3499,-55.1008,0,0
66.2000,20.0000,-57.6829,-54.6538,0,0
66.3000,20.0000,-57.0292,-54.1770,0,0
66.4000,20.0000,-56.3887,-53.6669,0,0
66.5000,20.0000,-55.7609,-53.1193,0,0
66.6000,20.0000,-55.1457,-52.5294,0,0
